__time,/mpc/computation/data,/mpc/horizon_prediction/data,/state/odom_pose/orientation/pitch,/state/odom_pose/orientation/roll,/state/odom_pose/orientation/w,/state/odom_pose/orientation/x,/state/odom_pose/orientation/y,/state/odom_pose/orientation/yaw,/state/odom_pose/orientation/z,/state/odom_pose/position/x,/state/odom_pose/position/y,/state/odom_pose/position/z,/state/odom_twist/angular/x,/state/odom_twist/angular/y,/state/odom_twist/angular/z,/state/odom_twist/linear/x,/state/odom_twist/linear/y,/state/odom_twist/linear/z,/state/ref_pose/orientation/pitch,/state/ref_pose/orientation/roll,/state/ref_pose/orientation/w,/state/ref_pose/orientation/x,/state/ref_pose/orientation/y,/state/ref_pose/orientation/yaw,/state/ref_pose/orientation/z,/state/ref_pose/position/x,/state/ref_pose/position/y,/state/ref_pose/position/z,/state/ref_twist/angular/x,/state/ref_twist/angular/y,/state/ref_twist/angular/z,/state/ref_twist/linear/x,/state/ref_twist/linear/y,/state/ref_twist/linear/z
533.465000,1406284.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533.563000,1682292.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533.664000,1960488.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533.764000,1866276.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533.863000,1772164.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533.964000,2560901.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534.064000,2186845.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534.164000,1554451.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534.265000,2416531.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534.365000,3397421.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534.464000,1346327.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534.564000,2106385.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534.664000,1386939.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534.766000,3246105.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534.864000,1160097.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534.964000,1697674.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535.063000,1472022.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535.163000,2412676.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535.264000,1044949.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535.363000,1341144.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535.463000,1175004.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535.565000,1682969.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535.665000,2137024.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535.962000,330308314.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536.146000,294420359.000000000,16.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-3.060614509,-0.034483150,-0.008901665,0.000000000,0.000000000,0.000000000,0.000000000,0.187346346,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-3.059666225,0.034166615,-0.006075009,0.000000000,0.000000000,0.000000000,0.000000000,0.103375665,0.000000000,0.000000000
536.363000,374786552.000000000,16.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-3.019052956,-0.079167841,-0.020465377,0.000000000,0.000000000,0.000000000,0.000000000,0.302146521,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-3.008848915,0.098887932,0.030606517,0.000000000,0.000000000,0.000000000,0.000000000,0.273312538,0.000000000,0.000000000
536.562000,343982725.000000000,18.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.996043854,-0.138662330,-0.033874570,0.000000000,0.000000000,0.000000000,0.000000000,0.393670561,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.980671013,0.059262852,0.022471170,0.000000000,,,,,,
536.563000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.353299672,0.000000000,0.000000000
536.796000,,17.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.972690857,-0.232542291,-0.053270165,0.000000000,0.000000000,0.000000000,0.000000000,0.374139009,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.965731453,-0.024645991,0.017995696,0.000000000,0.000000000,0.000000000,0.000000000,0.376601425,0.000000000,0.000000000
536.797000,386367042.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536.991000,,18.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.944409661,-0.314559017,-0.073779956,0.000000000,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.938991332,-0.095732527,0.002389245,0.000000000,0.000000000,0.000000000,0.000000000,0.474746796,0.000000000,0.000000000
536.992000,324350318.000000000,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.552720104,0.000000000,0.000000000,,,,,,,,,,,,,,,,
537.204000,337821040.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.929231107,-0.407522203,-0.096447136,0.000000000,0.000000000,0.000000000,0.000000000,0.535376470,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.924055049,-0.290098367,-0.036321801,0.000000000,,,,,,
537.215000,,16.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.475988223,0.000000000,0.000000000
537.388000,302391818.000000000,15.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.903938540,-0.543623183,-0.132875657,0.000000000,0.000000000,0.000000000,0.000000000,0.763541280,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.909589589,-0.505961509,-0.100826069,0.000000000,0.000000000,0.000000000,0.000000000,0.715294155,0.000000000,0.000000000
537.537000,262394358.000000000,14.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.906970370,-0.639539615,-0.155803041,0.000000000,0.000000000,0.000000000,0.000000000,0.759676342,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.896519895,-0.600725615,-0.113237612,0.000000000,0.000000000,0.000000000,0.000000000,0.806093337,0.000000000,0.000000000
537.746000,319032631.000000000,14.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.886146584,-0.832906054,-0.207985992,0.000000000,0.000000000,0.000000000,0.000000000,0.949978011,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.901620709,-0.755078849,-0.182471525,0.000000000,0.000000000,0.000000000,0.000000000,0.887273341,0.000000000,0.000000000
537.914000,,13.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.867722657,-0.987428649,-0.253595723,0.000000000,0.000000000,0.000000000,0.000000000,1.067592279,0.000000000,0.000000000,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.010642526,0.000000000,0.000000000
537.915000,269619491.000000000,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.879375086,-0.930039706,-0.250477647,0.000000000,,,,,,
538.041000,213548688.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.867378772,-1.115470897,-0.289995635,0.000000000,0.000000000,0.000000000,0.000000000,1.150556488,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.871215994,-1.031316500,-0.270179739,0.000000000,0.000000000,0.000000000,0.000000000,1.082326740,0.000000000,0.000000000
538.197000,277118260.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.865840251,-1.290514840,-0.339917862,0.000000000,0.000000000,0.000000000,0.000000000,1.146058224,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.873801286,-1.226725158,-0.321401344,0.000000000,0.000000000,0.000000000,0.000000000,1.137839882,0.000000000,0.000000000
538.317000,211175087.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.878621057,-1.436659168,-0.377477857,0.000000000,0.000000000,0.000000000,0.000000000,1.160519281,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.873712704,-1.323382405,-0.352309580,0.000000000,0.000000000,0.000000000,0.000000000,1.151142778,0.000000000,0.000000000
538.440000,209597684.000000000,10.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.888988225,-1.572710306,-0.411293225,0.000000000,0.000000000,0.000000000,0.000000000,1.164228165,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.886803780,-1.418856063,-0.384077143,0.000000000,0.000000000,0.000000000,0.000000000,1.156039291,0.000000000,0.000000000
538.590000,,10.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.897052272,-1.742554883,-0.452703329,0.000000000,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.164559993,0.000000000,0.000000000
538.592000,260046839.000000000,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.164882847,0.000000000,0.000000000,,,,,,,,,,,,,,,,
538.593000,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.897757264,-1.634981575,-0.440286813,0.000000000,,,,,,
538.717000,210841305.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.914664367,-1.892237285,-0.484712722,0.000000000,0.000000000,0.000000000,0.000000000,1.163269943,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.901021187,-1.720919972,-0.468522506,0.000000000,0.000000000,0.000000000,0.000000000,1.175519654,0.000000000,0.000000000
538.718000,,11.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538.846000,204941713.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.933708522,-2.040397274,-0.513325035,0.000000000,0.000000000,0.000000000,0.000000000,1.168750785,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.915922122,-1.824263833,-0.492411660,0.000000000,0.000000000,0.000000000,0.000000000,1.158489282,0.000000000,0.000000000
538.986000,,10.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.936880636,-2.200712902,-0.546218088,0.000000000,0.000000000,0.000000000,0.000000000,1.166826097,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.935035446,-2.025251098,-0.537663758,0.000000000,,,,,,
538.988000,258392643.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.168473102,0.000000000,0.000000000
539.093000,206045080.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.951731526,-2.315949890,-0.566452241,0.000000000,0.000000000,0.000000000,0.000000000,1.188873348,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.937170523,-2.135437192,-0.559624223,0.000000000,0.000000000,0.000000000,0.000000000,1.182825843,0.000000000,0.000000000
539.206000,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.155825078,0.000000000,0.000000000,,,,,,,,,,,,,,,,
539.207000,219993600.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.979909123,-2.455360399,-0.585386836,0.000000000,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.952626579,-2.244998419,-0.581292721,0.000000000,0.000000000,0.000000000,0.000000000,1.157032477,0.000000000,0.000000000
539.369000,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.148691144,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.993557977,-2.504070683,-0.614646997,0.000000000,0.000000000,0.000000000,0.000000000,1.152192739,0.000000000,0.000000000
539.370000,267735095.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.997033629,-2.625485971,-0.607925865,0.000000000,,,,,,,,,,,,,,,,,,,,,,
539.487000,206661384.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-3.016583094,-2.764377283,-0.623443419,0.000000000,0.000000000,0.000000000,0.000000000,1.192083919,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.991625582,-2.628587343,-0.630618919,0.000000000,0.000000000,0.000000000,0.000000000,1.163673285,0.000000000,0.000000000
539.596000,211001676.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-3.053743857,-2.904713100,-0.631099251,0.000000000,0.000000000,0.000000000,0.000000000,1.199792254,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-3.019131487,-2.753779500,-0.641182729,0.000000000,0.000000000,0.000000000,0.000000000,1.141644836,0.000000000,0.000000000
539.745000,282267246.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-3.088742642,-3.043549629,-0.634041103,0.000000000,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-3.053389597,-2.900386570,-0.645805855,0.000000000,0.000000000,0.000000000,0.000000000,1.147768779,0.000000000,0.000000000
539.746000,,11.000000000,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.120471647,0.000000000,0.000000000,,,,,,,,,,,,,,,,
539.916000,293424515.000000000,13.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-3.010202609,-3.238089057,-0.664838281,0.000000000,0.000000000,0.000000000,0.000000000,0.842201991,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-3.046358257,-3.160851154,-0.674870497,0.000000000,0.000000000,0.000000000,0.000000000,0.880225679,0.000000000,0.000000000
540.046000,234035872.000000000,12.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.960408539,-3.336616575,-0.690131770,0.000000000,0.000000000,0.000000000,0.000000000,0.813931890,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.989895394,-3.263542386,-0.698346933,0.000000000,0.000000000,0.000000000,0.000000000,0.809297345,0.000000000,0.000000000
540.211000,294618298.000000000,12.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.920990953,-3.473543690,-0.726354319,0.000000000,0.000000000,0.000000000,0.000000000,1.003856647,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.923715424,-3.428951364,-0.743492202,0.000000000,0.000000000,0.000000000,0.000000000,0.875321639,0.000000000,0.000000000
540.315000,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.994538024,0.000000000,0.000000000,,,,,,,,,,,,,,,,
540.316000,211763642.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.910484637,-3.578943321,-0.753145778,0.000000000,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.905422242,-3.521094329,-0.765199587,0.000000000,0.000000000,0.000000000,0.000000000,1.000443146,0.000000000,0.000000000
540.427000,207480632.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.897745732,-3.694467705,-0.784044723,0.000000000,0.000000000,0.000000000,0.000000000,1.122898733,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.897589102,-3.614652894,-0.785851047,0.000000000,0.000000000,0.000000000,0.000000000,1.004362664,0.000000000,0.000000000
540.590000,284065854.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.872158387,-3.869905992,-0.835479407,0.000000000,0.000000000,0.000000000,0.000000000,1.152199156,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.873590535,-3.823748314,-0.840771016,0.000000000,0.000000000,0.000000000,0.000000000,1.157984778,0.000000000,0.000000000
540.728000,237637077.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.877689625,-4.025744048,-0.878252484,0.000000000,0.000000000,0.000000000,0.000000000,1.151833361,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.858420993,-3.933455849,-0.874982610,0.000000000,0.000000000,0.000000000,0.000000000,1.149084502,0.000000000,0.000000000
540.869000,,12.000000000,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.147243848,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.873684336,-4.152605628,-0.923242119,0.000000000,0.000000000,0.000000000,0.000000000,1.132080014,0.000000000,0.000000000
540.870000,248371227.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.867565114,-4.181200112,-0.922919360,0.000000000,,,,,,,,,,,,,,,,,,,,,,
541.010000,253948138.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.886564206,-4.343070970,-0.963779392,0.000000000,0.000000000,0.000000000,0.000000000,1.166080706,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.862932465,-4.257199949,-0.945375597,0.000000000,0.000000000,0.000000000,0.000000000,1.202030114,0.000000000,0.000000000
541.138000,222641389.000000000,12.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.904169109,-4.480345003,-0.995690540,0.000000000,0.000000000,0.000000000,0.000000000,1.147871976,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.890823193,-4.378059717,-0.975102495,0.000000000,0.000000000,0.000000000,0.000000000,1.184534135,0.000000000,0.000000000
541.278000,233502035.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.879265338,-4.623776688,-1.037486581,0.000000000,0.000000000,0.000000000,0.000000000,1.158654681,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.886336875,-4.617423084,-1.039093564,0.000000000,0.000000000,0.000000000,0.000000000,1.174257204,0.000000000,0.000000000
541.401000,227224999.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.879312355,-4.782821055,-1.081075937,0.000000000,0.000000000,0.000000000,0.000000000,1.136622469,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.865780637,-4.730251451,-1.075810587,0.000000000,0.000000000,0.000000000,0.000000000,1.187552080,0.000000000,0.000000000
541.598000,306471635.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.884612676,-5.005720922,-1.137862413,0.000000000,0.000000000,0.000000000,0.000000000,1.108139871,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.901131175,-4.961385176,-1.127310869,0.000000000,0.000000000,0.000000000,0.000000000,1.146726561,0.000000000,0.000000000
541.759000,236240896.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.862959426,-5.174721357,-1.188583030,0.000000000,0.000000000,0.000000000,0.000000000,1.123675162,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.874358766,-5.172863039,-1.189750665,0.000000000,0.000000000,0.000000000,0.000000000,1.154107413,0.000000000,0.000000000
541.918000,,12.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541.919000,242968150.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.874257820,-5.355496374,-1.238595262,0.000000000,0.000000000,0.000000000,0.000000000,1.141592514,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.850891049,-5.276115952,-1.222389811,0.000000000,0.000000000,0.000000000,0.000000000,1.198732950,0.000000000,0.000000000
542.099000,283841090.000000000,12.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.855490707,-5.538261176,-1.294043063,0.000000000,0.000000000,0.000000000,0.000000000,0.933917425,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.871219093,-5.496649383,-1.279487926,0.000000000,0.000000000,0.000000000,0.000000000,1.044774686,0.000000000,0.000000000
542.239000,220947057.000000000,12.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.827256506,-5.667181213,-1.340133449,0.000000000,0.000000000,0.000000000,0.000000000,1.013475254,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.846974125,-5.585810394,-1.311013983,0.000000000,0.000000000,0.000000000,0.000000000,0.945360540,0.000000000,0.000000000
542.381000,216196032.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.778235294,-5.797885274,-1.397462906,0.000000000,0.000000000,0.000000000,0.000000000,1.007906629,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.798384830,-5.763822121,-1.380379384,0.000000000,0.000000000,0.000000000,0.000000000,1.017192893,0.000000000,0.000000000
542.568000,272876481.000000000,11.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.747322071,-5.982363801,-1.477898670,0.000000000,0.000000000,0.000000000,0.000000000,1.011974217,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.761755297,-5.958888410,-1.464441000,0.000000000,0.000000000,0.000000000,0.000000000,1.035180589,0.000000000,0.000000000
542.739000,248753308.000000000,14.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.720529773,-6.133770974,-1.550076454,0.000000000,0.000000000,0.000000000,0.000000000,0.978681339,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.733107593,-6.046405548,-1.505957034,0.000000000,0.000000000,0.000000000,0.000000000,0.986787001,0.000000000,0.000000000
542.910000,271314338.000000000,14.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.656772545,-6.259511843,-1.626417788,0.000000000,0.000000000,0.000000000,0.000000000,0.802811509,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.691992412,-6.216794776,-1.594372248,0.000000000,0.000000000,0.000000000,0.000000000,0.862304583,0.000000000,0.000000000
